t # 0
v 0 suffer
v 1 typhoid
v 2 fever
v 3 attack
v 4 salmonella
v 5 typhi
v 6 bacteria
v 7 kind
v 8 rare
v 9 develop
v 10 countri
v 11 sever
v 12 threat
v 13 world
v 14 like
v 15 india
v 16 main
v 17 among
v 18 children
v 19 eat
v 20 contamin
v 21 water
v 22 food
v 23 even
v 24 get
v 25 close
v 26 contact
v 27 infect
v 28 person
v 29 reason
v 30 behind
v 31 common
v 32 symptom
v 33 headach
v 34 high
v 35 stomach
v 36 pain
v 37 ever
v 38 feel
v 39 first
v 40 thing
v 41 need
v 42 done
v 43 opt
v 44 test
v 45 team
v 46 remedi
v 47 lab
v 48 alway
v 49 readi
v 50 help
v 51 explor
v 52 option
v 53 choos
v 54 anyon
v 55 depend
v 56 doctor
v 57 recommend
v 58 follow
v 59 suggest
v 60 focus
v 61 quick
v 62 catch
v 63 chanc
v 64 start
v 65 treatment
v 66 asap
v 67 sign
v 68 design
v 69 gradual
v 70 most
v 71 appear
v 72 1
v 73 3
v 74 week
v 75 exposur
v 76 diseas
v 77 earli
v 78 ill
v 79 low
v 80 slowli
v 81 reach
v 82 markweak
v 83 fatigueheadachesweatingmuscl
v 84 achesdri
v 85 coughstomach
v 86 painweight
v 87 lossloss
v 88 appetiterashdiarrhoea
v 89 constipationswollen
v 90 fail
v 91 proper
v 92 issu
v 93 subject
v 94 grow
v 95 becom
v 96 deliri
v 97 motionless
v 98 exhaust
v 99 eye
v 100 halfclos
v 101 check
v 102 essenti
v 103 lifethreaten
v 104 complic
v 105 time
v 106 sometim
v 107 return
v 108 around
v 109 two
v 110 subsid
v 111 see
v 112 one
v 113 us
v 114 right
v 115 visit
v 116 along
v 117 mandatori
v 118 without
v 119 wast
v 120 immedi
v 121 think
v 122 ask
v 123 go
v 124 enjoy
v 125 accur
v 126 report
v 127 everi
v 128 rescu
v 129 process
v 130 reli
v 131 busi
v 132 long
v 133 present
v 134 patient
v 135 difficult
v 136 anymor
v 137 caus
v 138 diagnos
v 139 danger
v 140 refer
v 141 list
v 142 faecal
v 143 oral
v 144 transmiss
v 145 rout
v 146 peopl
v 147 spread
v 148 rest
v 149 faecalor
v 150 mean
v 151 bacterium
v 152 pass
v 153 faec
v 154 urin
v 155 consum
v 156 handl
v 157 yet
v 158 anoth
v 159 mani
v 160 victim
v 161 drink
v 162 item
v 163 alreadi
v 164 awar
v 165 plan
v 166 point
v 167 stay
v 168 hundr
v 169 feet
v 170 away
v 171 prevent
v 172 measur
v 173 learn
v 174 crucial
v 175 dont
v 176 want
v 177 associ
v 178 dead
v 179 save
v 180 money
v 181 fee
v 182 medicin
v 183 accord
v 184 safe
v 185 improv
v 186 sanit
v 187 control
v 188 feverprop
v 189 medic
v 190 care
v 191 come
v 192 also
v 193 followin
v 194 nation
v 195 achiev
v 196 expert
v 197 work
v 198 vaccin
v 199 part
v 200 feverther
v 201 type
v 202 avail
v 203 singl
v 204 shot
v 205 travel
v 206 capsul
v 207 taken
v 208 daili
v 209 troubl
