t # 0
v 0 paella
v 1 bit
v 2 everyth
v 3 love
v 4 rice
v 5 seafood
v 6 import
v 7 socarrat
v 8 crispi
v 9 crunchi
v 10 toast
v 11 ever
v 12 obsess
v 13 dish
v 14 even
v 15 though
v 16 youv
v 17 never
v 18 eaten
v 19 one
v 20 food
v 21 bucket
v 22 list
v 23 item
v 24 dont
v 25 rememb
v 26 becam
v 27 birthplac
v 28 valencia
v 29 im
v 30 pretti
v 31 sure
v 32 someth
v 33 fact
v 34 icon
v 35 peopl
v 36 around
v 37 world
v 38 think
v 39 quintessenti
v 40 spanish
v 41 actual
v 42 valencian
v 43 mean
v 44 spain
v 45 good
v 46 year
v 47 ago
v 48 mike
v 49 went
v 50 first
v 51 thing
v 52 ate
v 53 liter
v 54 got
v 55 train
v 56 restaur
v 57 way
v 58 bunch
v 59 orang
v 60 tree
v 61 tempt
v 62 look
v 63 appar
v 64 line
v 65 street
v 66 sweet
v 67 use
v 68 juic
v 69 anyway
v 70 imagin
v 71 meal
v 72 either
v 73 churro
v 74 dip
v 75 chocol
v 76 juici
v 77 season
v 78 meat
v 79 tendercrisp
v 80 bean
v 81 best
v 82 part
v 83 saffron
v 84 scent
v 85 toasti
v 86 dream
v 87 come
v 88 true
v 89 pronounc
v 90 payehyah
v 91 made
v 92 shallow
v 93 wide
v 94 pan
v 95 open
v 96 fire
v 97 fri
v 98 tradit
v 99 includ
v 100 short
v 101 grain
v 102 green
v 103 rabbit
v 104 chicken
v 105 nowaday
v 106 huge
v 107 number
v 108 variat
v 109 vegetarian
v 110 mixta
v 111 essenti
v 112 mix
v 113 veget
v 114 make
v 115 soak
v 116 releas
v 117 color
v 118 aroma
v 119 pop
v 120 small
v 121 bowl
v 122 hot
v 123 water
v 124 set
v 125 asid
v 126 sear
v 127 protein
v 128 heat
v 129 oliv
v 130 oil
v 131 medium
v 132 high
v 133 give
v 134 quick
v 135 goe
v 136 skin
v 137 side
v 138 chorizo
v 139 get
v 140 brown
v 141 shrimp
v 142 toss
v 143 remov
v 144 doesnt
v 145 cook
v 146 sweat
v 147 aromat
v 148 add
v 149 onion
v 150 garlic
v 151 tomato
v 152 paprika
v 153 stir
v 154 soft
v 155 fragrant
v 156 liquid
v 157 care
v 158 stock
v 159 bring
v 160 boil
v 161 flip
v 162 time
v 163 sprinkl
v 164 tri
v 165 thin
v 166 layer
v 167 spoon
v 168 spread
v 169 need
v 170 let
v 171 simmer
v 172 uncov
v 173 absorb
v 174 almost
v 175 nestl
v 176 clam
v 177 back
v 178 top
v 179 low
v 180 al
v 181 denot
v 182 turn
v 183 12
v 184 minut
v 185 creat
v 186 crust
v 187 rest
v 188 enjoy
v 189 cover
v 190 foil
v 191 5
v 192 ingredi
v 193 truli
v 194 bomba
v 195 choic
v 196 3
v 197 much
v 198 regular
v 199 flavor
v 200 plus
v 201 right
v 202 stay
v 203 firm
v 204 dent
v 205 usual
v 206 find
v 207 whole
v 208 onlin
v 209 smoke
v 210 bittersweet
v 211 go
v 212 smoki
v 213 there
v 214 lot
v 215 controversi
v 216 kind
v 217 your
v 218 super
v 219 concern
v 220 authent
v 221 custom
v 222 put
v 223 anyth
v 224 want
v 225 dri
v 226 cure
v 227 mexican
v 228 avail
v 229 that
v 230 okay
v 231 purist
v 232 say
v 233 overwhelm
v 234 weve
v 235 multipl
v 236 without
v 237 person
v 238 pork
v 239 realli
v 240 especi
v 241 sort
v 242 varieti
v 243 isnt
v 244 common
v 245 north
v 246 america
v 247 sub
v 248 pepper
v 249 asparagus
v 250 artichok
v 251 pea
v 252 chickpea
v 253 like
v 254 wild
v 255 nice
v 256 what
v 257 insid
v 258 said
v 259 salt
v 260 advers
v 261 would
v 262 sodium
v 263 afterward
v 264 homemad
v 265 seafoodshellfish
v 266 easier
v 267 control
v 268 gorgeous
v 269 golden
v 270 hue
v 271 thread
v 272 earthi
v 273 floral
v 274 distinct
v 275 expens
v 276 spice
v 277 teaspoon
v 278 definit
v 279 overal
v 280 skip
v 281 deep
v 282 redorang
v 283 sold
v 284 larg
v 285 groceri
v 286 store
v 287 specialti
v 288 cours
v 289 width
v 290 help
v 291 distribut
v 292 ensur
v 293 feed
v 294 two
v 295 general
v 296 1012
v 297 inch
v 298 serv
v 299 eight
v 300 18
v 301 popular
v 302 size
e 0 1 2
e 0 19 2
e 0 27 2
e 0 30 2
e 0 53 2
e 0 56 2
e 0 44 2
e 0 40 2
e 0 51 2
e 0 0 2
e 0 89 2
e 0 43 2
e 0 99 2
e 0 111 2
e 0 78 2
e 0 115 2
e 0 94 2
e 0 190 2
e 0 192 2
e 0 193 2
e 0 217 2
e 0 222 2
e 0 28 2
e 0 113 2
e 0 268 2
e 1 2 2
e 1 11 2
e 1 86 2
e 1 7 2
e 2 3 2
e 2 160 2
e 2 87 2
e 3 4 2
e 4 5 2
e 4 1 2
e 4 8 2
e 4 13 2
e 4 102 2
e 4 162 2
e 4 164 2
e 4 173 2
e 4 180 2
e 4 186 2
e 4 0 2
e 4 4 2
e 4 6 2
e 4 44 2
e 4 133 2
e 4 207 2
e 4 258 2
e 4 291 2
e 4 145 2
e 5 6 2
e 5 109 2
e 5 113 2
e 5 175 2
e 5 239 2
e 6 7 2
e 6 192 2
e 6 85 2
e 7 8 2
e 7 162 2
e 7 217 2
e 8 9 2
e 8 85 2
e 9 10 2
e 9 4 2
e 10 4 2
e 11 12 2
e 12 13 2
e 12 0 2
e 13 14 2
e 13 0 2
e 13 34 2
e 13 91 2
e 14 15 2
e 14 166 2
e 14 266 2
e 14 117 2
e 15 16 2
e 15 41 2
e 16 17 2
e 17 18 2
e 18 13 2
e 19 20 2
e 19 67 2
e 19 275 2
e 20 21 2
e 20 208 2
e 20 286 2
e 21 22 2
e 22 23 2
e 23 24 2
e 24 25 2
e 24 280 2
e 25 26 2
e 26 12 2
e 27 28 2
e 28 29 2
e 28 44 2
e 28 50 2
e 28 66 2
e 28 72 2
e 28 236 2
e 28 205 2
e 29 30 2
e 30 31 2
e 30 34 2
e 30 61 2
e 30 148 2
e 31 32 2
e 32 33 2
e 33 0 2
e 34 13 2
e 34 35 2
e 35 36 2
e 36 37 2
e 37 38 2
e 37 169 2
e 38 39 2
e 38 229 2
e 39 40 2
e 40 13 2
e 40 73 2
e 40 152 2
e 40 138 2
e 41 42 2
e 42 43 2
e 42 59 2
e 42 98 2
e 43 28 2
e 43 97 2
e 44 45 2
e 44 81 2
e 45 46 2
e 45 70 2
e 45 71 2
e 45 76 2
e 46 47 2
e 47 48 2
e 48 49 2
e 49 28 2
e 49 0 2
e 50 51 2
e 51 52 2
e 51 45 2
e 52 0 2
e 53 54 2
e 54 55 2
