t # 0
v 0 slow
v 1 cook
v 2 kheer
v 3 flavor
v 4 textur
v 5 fraction
v 6 time
v 7 save
v 8 ingredi
v 9 easi
v 10 hack
v 11 although
v 12 speak
v 13 often
v 14 default
v 15 chawal
v 16 ki
v 17 rice
v 18 pud
v 19 pakistani
v 20 household
v 21 mother
v 22 made
v 23 bread
v 24 one
v 25 suspect
v 26 instant
v 27 por
v 28 would
v 29 meet
v 30 practic
v 31 mama
v 32 approv
v 33 essenc
v 34 think
v 35 creami
v 36 come
v 37 varieti
v 38 thing
v 39 even
v 40 sweet
v 41 potato
v 42 velveti
v 43 typic
v 44 art
v 45 like
v 46 tradit
v 47 recip
v 48 inspir
v 49 part
v 50 mil
v 51 tast
v 52 pot
v 53 long
v 54 remad
v 55 test
v 56 retest
v 57 thank
v 58 generos
v 59 friend
v 60 instagram
v 61 communiti
v 62 learnt
v 63 togeth
v 64 evapor
v 65 milk
v 66 delight
v 67 natur
v 68 sugar
v 69 caus
v 70 go
v 71 burn
v 72 model
v 73 also
v 74 ⅓
v 75 cup
v 76 deem
v 77 enough
v 78 peopl
v 79 love
v 80 saffron
v 81 rose
v 82 other
v 83 hard
v 84 pass
v 85 work
v 86 break
v 87 make
v 88 get
v 89 result
v 90 requir
v 91 play
v 92 around
v 93 combo
v 94 beauti
v 95 read
v 96 tweak
v 97 use
v 98 three
v 99 key
v 100 right
v 101 1
v 102 dissolv
v 103 liquid
v 104 first
v 105 insur
v 106 prevent
v 107 2
v 108 low
v 109 pressur
v 110 set
v 111 capit
v 112 littl
v 113 aggress
v 114 mayb
v 115 necessari
v 116 give
v 117 chang
v 118 high
v 119 simpli
v 120 press
v 121 manual
v 122 button
v 123 3
v 124 quick
v 125 whisk
v 126 neither
v 127 patienc
v 128 arm
v 129 workout
v 130 need
v 131 end
v 132 clump
v 133 sure
v 134 grain
v 135 distribut
v 136 tikiyaan
v 137 month
v 138 rajab
v 139 remiss
v 140 didnt
v 141 share
v 142 meethi
v 143 classic
v 144 combin
v 145 integr
v 146 childhood
v 147 crunch
v 148 aroma
v 149 ghee
v 150 scent
v 151 pair
v 152 clean
v 153 decad
v 154 faq
v 155 substitut
v 156 absolut
v 157 alter
v 158 final
v 159 dish
v 160 howev
v 161 safe
v 162 half
v 163 instead
v 164 cream
v 165 kind
v 166 fresh
v 167 whether
v 168 tabl
v 169 whip
v 170 etc
v 171 label
v 172 tend
v 173 vari
v 174 across
v 175 globe
v 176 best
v 177 basmati
v 178 ideal
v 179 flavour
v 180 stick
v 181 white
v 182 4
v 183 advanc
v 184 certain
v 185 day
v 186 optim
v 187 consum
v 188 within
v 189 5
v 190 freez
v 191 remark
v 192 freezer
v 193 isnt
v 194 id
v 195 recommend
v 196 familyfriend
v 197 6
v 198 havent
v 199 tri
v 200 coconut
v 201 raw
v 202 brown
v 203 colour
v 204 steer
v 205 clear
v 206 7
v 207 add
v 208 nut
v 209 mix
v 210 alway
v 211 wonder
v 212 common
v 213 ask
v 214 question
v 215 increas
v 216 quantiti
v 217 hand
v 218 doubl
v 219 tripl
v 220 answer
v 221 yes
v 222 fulli
v 223 per
v 224 instruct
v 225 whatev
v 226 easili
v 227 fit
v 228 take
v 229 releas
v 230 popular
v 231 dessert
v 232 hear
v 233 rate
v 234 tag
v 235 recreat
v 236 flourandspiceblog
e 0 1 2
e 1 2 2
e 1 25 2
e 1 45 2
e 1 26 2
e 1 89 2
e 2 3 2
e 2 11 2
e 2 13 2
e 2 17 2
e 2 21 2
e 2 28 2
e 2 33 2
e 2 47 2
e 2 51 2
e 2 82 2
e 2 85 2
e 2 26 2
e 2 98 2
e 2 100 2
e 2 90 2
e 2 136 2
e 2 142 2
e 2 153 2
e 2 154 2
e 2 176 2
e 2 22 2
e 2 23 2
e 2 191 2
e 2 193 2
e 2 209 2
e 2 57 2
e 3 4 2
e 4 5 2
e 4 36 2
e 4 43 2
e 4 117 2
e 4 179 2
e 5 6 2
e 6 6 2
e 6 7 2
e 6 36 2
e 6 117 2
e 6 228 2
e 7 8 2
e 8 9 2
e 8 87 2
e 9 10 2
e 10 2 2
e 11 12 2
e 11 2 2
e 12 2 2
e 13 14 2
e 14 15 2
e 14 118 2
e 15 16 2
e 16 2 2
e 17 18 2
e 17 23 2
e 17 134 2
e 17 2 2
e 17 178 2
e 17 24 2
e 18 19 2
e 18 35 2
e 19 20 2
e 19 231 2
e 20 2 2
e 21 22 2
e 21 24 2
e 22 23 2
e 22 54 2
e 22 177 2
e 22 183 2
e 22 47 2
e 22 2 2
e 23 2 2
e 23 39 2
e 24 0 2
e 24 182 2
e 25 26 2
e 25 200 2
e 26 27 2
e 26 52 2
e 27 2 2
e 28 29 2
e 28 139 2
e 28 180 2
e 28 85 2
e 28 117 2
e 28 204 2
e 29 30 2
e 30 31 2
e 31 32 2
e 32 2 2
e 33 34 2
e 34 18 2
e 34 87 2
e 34 233 2
e 35 4 2
e 35 2 2
e 36 37 2
e 36 44 2
e 36 22 2
e 36 109 2
e 37 38 2
e 38 17 2
e 39 40 2
e 39 81 2
e 39 135 2
e 40 41 2
e 40 77 2
e 41 42 2
e 42 4 2
e 43 36 2
e 44 0 2
e 45 46 2
e 45 97 2
e 46 2 2
e 47 48 2
e 47 53 2
e 47 210 2
e 47 167 2
e 47 234 2
e 48 49 2
e 49 50 2
e 49 88 2
e 49 146 2
e 50 2 2
e 51 0 2
e 52 2 2
e 52 70 2
e 52 88 2
e 52 87 2
e 52 109 2
e 53 6 2
e 53 222 2
e 54 55 2
e 55 56 2
e 56 57 2
e 57 58 2
e 57 194 2
e 58 59 2
e 59 60 2
e 59 17 2
e 60 61 2
e 60 236 2
e 61 62 2
e 62 63 2
e 62 74 2
e 63 64 2
e 64 65 2
e 65 66 2
e 65 156 2
e 65 164 2
e 66 67 2
e 66 143 2
e 66 26 2
e 67 68 2
e 67 157 2
e 68 69 2
e 68 103 2
e 68 198 2
e 68 68 2
e 68 201 2
e 68 28 2
e 68 223 2
e 69 26 2
e 70 71 2
e 71 72 2
e 71 107 2
e 71 116 2
e 72 73 2
e 73 62 2
e 74 75 2
e 75 76 2
e 76 40 2
e 77 78 2
e 78 79 2
e 79 80 2
e 79 232 2
e 80 39 2
e 80 150 2
e 81 2 2
e 82 83 2
e 83 84 2
e 84 2 2
e 85 86 2
e 85 94 2
e 85 167 2
e 85 202 2
e 86 8 2
e 86 132 2
e 87 2 2
e 87 35 2
e 87 133 2
e 87 155 2
e 87 185 2
e 87 189 2
e 87 141 2
e 87 47 2
e 87 225 2
e 88 0 2
e 88 26 2
e 89 90 2
e 90 91 2
e 90 126 2
e 91 92 2
e 92 93 2
e 93 85 2
e 94 95 2
e 95 96 2
e 96 97 2
e 97 26 2
e 97 108 2
e 97 162 2
e 97 17 2
e 97 68 2
e 98 99 2
e 98 65 2
e 99 49 2
e 100 101 2
e 100 4 2
e 101 102 2
e 101 87 2
e 102 68 2
e 103 104 2
e 104 105 2
e 105 106 2
e 106 71 2
e 107 97 2
e 107 165 2
e 108 109 2
e 109 110 2
e 109 119 2
e 109 122 2
e 109 6 2
e 110 111 2
e 110 106 2
e 110 14 2
e 111 112 2
e 112 113 2
e 113 114 2
e 114 115 2
e 115 97 2
e 116 100 2
e 117 110 2
e 117 67 2
e 117 4 2
e 117 6 2
e 118 109 2
e 119 120 2
e 120 121 2
e 121 109 2
e 122 123 2
e 123 124 2
e 123 97 2
e 123 185 2
e 124 125 2
e 124 131 2
e 125 11 2
e 125 124 2
e 126 127 2
e 127 128 2
e 128 129 2
e 129 130 2
e 130 125 2
e 130 165 2
e 131 86 2
e 132 87 2
e 133 17 2
e 134 39 2
e 135 2 2
e 136 137 2
e 136 66 2
e 136 151 2
e 137 138 2
e 138 28 2
e 139 140 2
e 140 141 2
e 141 2 2
e 141 196 2
e 142 136 2
e 143 144 2
e 144 145 2
e 145 49 2
e 146 147 2
e 147 148 2
e 148 149 2
e 149 80 2
e 150 136 2
e 151 152 2
e 152 35 2
e 153 66 2
e 154 101 2
e 155 98 2
e 155 117 2
e 156 87 2
e 156 34 2
e 157 158 2
e 158 159 2
e 159 160 2
e 160 161 2
e 161 45 2
e 162 162 2
e 162 163 2
e 163 65 2
e 164 107 2
e 164 130 2
e 164 85 2
e 164 169 2
e 164 170 2
e 165 164 2
e 165 166 2
e 166 164 2
e 167 168 2
e 167 218 2
e 168 164 2
e 169 164 2
e 170 171 2
e 171 172 2
e 172 173 2
e 173 174 2
e 174 175 2
e 175 123 2
e 176 22 2
e 177 17 2
e 178 4 2
e 179 28 2
e 179 203 2
e 180 181 2
e 181 177 2
e 182 2 2
e 183 184 2
e 183 186 2
e 184 87 2
e 185 183 2
e 185 87 2
e 186 187 2
e 187 188 2
e 187 87 2
e 188 123 2
e 189 190 2
e 190 2 2
e 191 192 2
e 192 59 2
e 193 194 2
e 194 195 2
e 194 79 2
e 195 187 2
e 196 197 2
e 197 97 2
e 198 199 2
e 199 25 2
e 200 68 2
e 201 28 2
e 202 68 2
e 203 2 2
e 204 205 2
e 205 206 2
e 206 207 2
e 207 208 2
e 208 2 2
e 209 156 2
e 210 211 2
e 211 212 2
e 212 213 2
e 213 214 2
e 213 22 2
e 214 215 2
e 214 217 2
e 215 216 2
e 215 230 2
e 216 214 2
e 216 226 2
e 217 213 2
e 218 219 2
e 219 220 2
e 220 221 2
e 221 53 2
e 222 102 2
e 223 224 2
e 224 87 2
e 225 216 2
e 226 227 2
e 227 26 2
e 228 36 2
e 228 229 2
e 229 215 2
e 230 19 2
e 231 22 2
e 232 34 2
e 233 47 2
e 234 235 2
e 235 60 2
t # 1
v 0 insid
v 1 slight
v 2 crunch
v 3 outsid
v 4 recip
v 5 pass
v 6 famili
v 7 generat
v 8 warm
v 9 heart
v 10 see
v 11 becom
v 12 part
v 13 read
v 14 essenc
v 15 cultur
v 16 word
v 17 translat
v 18 explain
v 19 yes
v 20 direct
v 21 exampl
v 22 given
v 23 author
v 24 urdu
v 25 takalluf
v 26 polit
v 27 first
v 28 often
v 29 second
v 30 time
v 31 refus
v 32 offer
v 33 stem
v 34 good
v 35 manner
v 36 someon
v 37 ask
v 38 tea
v 39 perhap
v 40 even
v 41 eye
v 42 practic
v 43 glu
v 44 shut
v 45 exhaust
v 46 origin
v 47 mani
v 48 meethi
v 49 tikiyaan
v 50 shred
v 51 coconut
v 52 fold
v 53 hand
v 54 semolina
v 55 version
v 56 share
v 57 one
v 58 taught
v 59 youngest
v 60 aunt
v 61 resid
v 62 maker
v 63 extraordinair
v 64 learnt
v 65 mother
v 66 regular
v 67 reader
v 68 know
v 69 dont
v 70 valu
v 71 tradit
v 72 sake
v 73 make
v 74 sens
v 75 like
v 76 art
v 77 scienc
v 78 bite
v 79 right
v 80 strike
v 81 chord
v 82 power
v 83 almost
v 84 feel
v 85 behind
v 86 big
v 87 differ
v 88 other
v 89 also
v 90 34
v 91 inch
v 92 emin
v 93 snackabl
v 94 2
v 95 niaz
v 96 stapl
v 97 rajab
v 98 kundon
v 99 ki
v 100 open
v 101 hous
v 102 style
v 103 meal
v 104 host
v 105 hope
v 106 receiv
v 107 bless
v 108 auspici
v 109 month
v 110 day
v 111 would
v 112 entail
v 113 mad
v 114 rush
v 115 cook
v 116 clean
v 117 alway
v 118 look
v 119 forward
v 120 swoop
v 121 mini
v 122 hurrican
v 123 simultan
v 124 instruct
v 125 plate
v 126 admonish
v 127 us
v 128 resist
v 129 sampl
v 130 lest
v 131 run
v 132 last
v 133 karachi
v 134 went
v 135 night
v 136 learn
v 137 trademark
v 138 tiki
v 139 immedi
v 140 two
v 141 thing
v 142 never
v 143 year
v 144 tikiyan
